Time,Res_Freq,Amplitude,Phase,Sample_number,Peak,Before_compression,After_compression,Compression_ratio,Compression_time
762.200595,3818.090131,18.978,-0.95,6,1,13.99,11.2,1.249107142857143,165.1504460000001
762.10059,3818.090131,18.978,-0.95,6,1,13.99,11.2,1.249107142857143,165.1504460000001
782.600762,3818.099082,19.09,-4.02,6,1,13.99,11.2,1.249107142857143,165.1504460000001
778.000499,3818.374027,17.576,-13.6,6,1,13.99,11.2,1.249107142857143,165.1504460000001
140.649045,3818.627187,6.634,2.13,2,1,14.5,11.8,1.2288135593220337,71.49309
762.500613,3818.652602,19.2,-8.53,6,1,13.99,11.2,1.249107142857143,165.1504460000001
783.100791,3818.661226,19.052,-9.81,6,1,13.99,11.2,1.249107142857143,165.1504460000001
136.949833,3818.732642,5.912,-3.45,2,1,14.5,11.8,1.2288135593220337,71.49309
138.801939,3818.868109,3.398,-13.24,2,1,14.5,11.8,1.2288135593220337,71.49309
762.400607,3818.962442,19.124,-0.92,6,1,13.99,11.2,1.249107142857143,165.1504460000001
698.449949,3818.993588,5.478,3.78,6,1,13.99,11.2,1.249107142857143,165.1504460000001
762.80063,3819.064255,19.354,-11.13,6,1,13.99,11.2,1.249107142857143,165.1504460000001
778.300516,3819.154757,17.876,-11.05,6,1,13.99,11.2,1.249107142857143,165.1504460000001
778.400522,3819.354787,17.206,-7.0,6,1,13.99,11.2,1.249107142857143,165.1504460000001
783.000785,3819.397486,19.01,-11.81,6,1,13.99,11.2,1.249107142857143,165.1504460000001
762.900636,3819.401047,19.35,-6.59,6,1,13.99,11.2,1.249107142857143,165.1504460000001
778.500528,3819.534818,17.4,-7.06,6,1,13.99,11.2,1.249107142857143,165.1504460000001
741.400406,3819.562396,18.246,-2.33,6,1,13.99,11.2,1.249107142857143,165.1504460000001
700.100043,3819.668629,5.72,2.32,6,1,13.99,11.2,1.249107142857143,165.1504460000001
763.100647,3819.95363,19.338,-12.16,6,1,13.99,11.2,1.249107142857143,165.1504460000001
762.700624,3820.24076,19.114,0.64,6,1,13.99,11.2,1.249107142857143,165.1504460000001
778.200511,3820.304593,17.028,0.53,6,1,13.99,11.2,1.249107142857143,165.1504460000001
783.200797,3820.335336,19.094,-2.6,6,1,13.99,11.2,1.249107142857143,165.1504460000001
777.900494,3820.376456,16.858,5.38,6,1,13.99,11.2,1.249107142857143,165.1504460000001
137.049839,3820.481017,6.314,-1.38,2,1,14.5,11.8,1.2288135593220337,71.49309
780.400637,3820.587371,16.954,1.59,6,1,13.99,11.2,1.249107142857143,165.1504460000001
771.600133,3820.652266,14.146,-37.52,6,1,13.99,11.2,1.249107142857143,165.1504460000001
782.700768,3820.750493,19.1,0.28,6,1,13.99,11.2,1.249107142857143,165.1504460000001
782.90078,3820.801166,18.992,1.11,6,1,13.99,11.2,1.249107142857143,165.1504460000001
763.400664,3820.971008,19.418,-10.28,6,1,13.99,11.2,1.249107142857143,165.1504460000001
138.698933,3821.085749,4.048,-13.4,2,1,14.5,11.8,1.2288135593220337,71.49309
777.603477,3821.194105,15.84,12.24,6,1,13.99,11.2,1.249107142857143,165.1504460000001
777.500471,3821.194105,15.84,12.24,6,1,13.99,11.2,1.249107142857143,165.1504460000001
776.700425,3821.230704,15.198,11.26,6,1,13.99,11.2,1.249107142857143,165.1504460000001
783.400808,3821.365684,19.288,-9.25,6,1,13.99,11.2,1.249107142857143,165.1504460000001
763.000641,3821.474516,19.186,-1.42,6,1,13.99,11.2,1.249107142857143,165.1504460000001
140.749051,3821.487949,6.654,1.89,2,1,14.5,11.8,1.2288135593220337,71.49309
137.149845,3821.500206,6.07,-3.55,2,1,14.5,11.8,1.2288135593220337,71.49309
763.200653,3821.557486,19.312,-2.81,6,1,13.99,11.2,1.249107142857143,165.1504460000001
763.700681,3821.581334,19.454,-10.5,6,1,13.99,11.2,1.249107142857143,165.1504460000001
763.600676,3821.581334,19.454,-10.5,6,1,13.99,11.2,1.249107142857143,165.1504460000001
763.800687,3821.74145,19.452,-7.12,6,1,13.99,11.2,1.249107142857143,165.1504460000001
763.300658,3821.86445,19.382,-6.68,6,1,13.99,11.2,1.249107142857143,165.1504460000001
783.300802,3821.915756,19.39,-2.88,6,1,13.99,11.2,1.249107142857143,165.1504460000001
764.000699,3822.39736,19.524,-9.98,6,1,13.99,11.2,1.249107142857143,165.1504460000001
763.50067,3822.54832,19.334,-2.89,6,1,13.99,11.2,1.249107142857143,165.1504460000001
