Time,Res_Freq,Amplitude,Phase,Sample_number,Peak,Before_compression,After_compression,Compression_ratio,Compression_time
136.19979,1896.057478,3.588,-91.88,3,0,13.99,11.16,1.253584229390681,0
136.305796,1843.371564,4.33,-89.87,3,0,13.99,11.16,1.253584229390681,0
136.400802,1801.014649,5.124,-87.78,3,0,13.99,11.16,1.253584229390681,0
136.499807,1767.197449,6.05,-85.12,3,0,13.99,11.16,1.253584229390681,0
136.599813,1767.197449,6.05,-85.12,3,0,13.99,11.16,1.253584229390681,0
136.699819,1738.987136,7.11,-82.61,3,0,13.99,11.16,1.253584229390681,0
136.799825,1715.142445,8.176,-79.93,3,0,13.99,11.16,1.253584229390681,0
136.89983,1695.417424,9.448,-76.41,3,0,13.99,11.16,1.253584229390681,0
136.999836,1678.725293,10.904,-72.92,3,0,13.99,11.16,1.253584229390681,0
137.099842,1664.979743,12.512,-68.34,3,0,13.99,11.16,1.253584229390681,0
137.502865,1720.257001,7.992,-76.17,3,0,13.99,11.16,1.253584229390681,0
137.59987,1699.902713,9.212,-77.01,3,0,13.99,11.16,1.253584229390681,0
137.699876,1682.746595,10.522,-73.5,3,0,13.99,11.16,1.253584229390681,0
137.799882,1668.485121,12.062,-69.23,3,0,13.99,11.16,1.253584229390681,0
137.899888,1656.41318,13.57,-65.03,3,0,13.99,11.16,1.253584229390681,0
137.999893,1646.193753,15.084,-60.55,3,0,13.99,11.16,1.253584229390681,0
138.099899,1637.588125,16.654,-55.73,3,0,13.99,11.16,1.253584229390681,0
138.199904,1630.077632,17.908,-51.89,3,0,13.99,11.16,1.253584229390681,0
138.30091,1624.0126,19.428,-45.87,3,0,13.99,11.16,1.253584229390681,0
138.449919,1618.90505,20.444,-41.28,3,0,13.99,11.16,1.253584229390681,0
138.549925,1614.45423,21.3,-37.84,3,0,13.99,11.16,1.253584229390681,0
160.268167,3193.717405,1.012,55.54,4,0,13.83,11.16,1.239247311827957,0
160.368173,3232.11369,1.032,57.5,4,0,13.83,11.16,1.239247311827957,0
160.568184,3296.183977,1.066,44.73,4,0,13.83,11.16,1.239247311827957,0
160.66819,3324.963707,1.108,50.43,4,0,13.83,11.16,1.239247311827957,0
160.768196,3355.221645,1.216,51.42,4,0,13.83,11.16,1.239247311827957,0
160.868201,3393.249499,1.132,56.3,4,0,13.83,11.16,1.239247311827957,0
160.968207,3432.025535,1.234,56.47,4,0,13.83,11.16,1.239247311827957,0
161.068213,3485.212858,1.386,62.12,4,0,13.83,11.16,1.239247311827957,0
161.168219,3526.821188,1.572,57.36,4,0,13.83,11.16,1.239247311827957,0
161.268224,3526.821188,1.572,57.36,4,0,13.83,11.16,1.239247311827957,0
161.36823,3563.576135,1.53,54.51,4,0,13.83,11.16,1.239247311827957,0
161.470236,3599.300343,1.594,53.65,4,0,13.83,11.16,1.239247311827957,0
161.568242,3618.106656,1.73,36.82,4,0,13.83,11.16,1.239247311827957,0
161.668247,3628.713114,3.282,21.32,4,0,13.83,11.16,1.239247311827957,0
161.769253,3652.81369,2.278,43.42,4,0,13.83,11.16,1.239247311827957,0
161.871259,3659.829304,1.86,12.13,4,0,13.83,11.16,1.239247311827957,0
161.967264,3637.753841,1.43,-59.9,4,0,13.83,11.16,1.239247311827957,0
164.817427,2521.814658,1.022,63.26,4,0,13.83,11.16,1.239247311827957,0
164.919433,2564.133059,1.162,63.39,4,0,13.83,11.16,1.239247311827957,0
165.017439,2561.726544,1.206,-19.38,4,0,13.83,11.16,1.239247311827957,0
165.117445,2207.061541,1.536,-97.92,4,0,13.83,11.16,1.239247311827957,0
165.517467,2252.801303,1.564,-46.86,4,0,13.83,11.16,1.239247311827957,0
165.817484,2159.892423,2.152,-92.69,4,0,13.83,11.16,1.239247311827957,0
165.91749,2116.291115,1.894,-86.13,4,0,13.83,11.16,1.239247311827957,0
166.017496,1997.609634,2.634,-94.98,4,0,13.83,11.16,1.239247311827957,0
166.117502,1923.249467,3.352,-92.43,4,0,13.83,11.16,1.239247311827957,0
166.217507,1868.332543,4.006,-90.14,4,0,13.83,11.16,1.239247311827957,0
166.317513,1868.332543,4.006,-90.14,4,0,13.83,11.16,1.239247311827957,0
166.417519,1822.303249,4.696,-88.59,4,0,13.83,11.16,1.239247311827957,0
166.517524,1784.163422,5.562,-86.61,4,0,13.83,11.16,1.239247311827957,0
166.61753,1754.632911,6.488,-83.2,4,0,13.83,11.16,1.239247311827957,0
166.717536,1729.43515,7.57,-80.78,4,0,13.83,11.16,1.239247311827957,0
166.817542,1708.359597,8.706,-77.62,4,0,13.83,11.16,1.239247311827957,0
166.917547,1690.717394,9.972,-74.03,4,0,13.83,11.16,1.239247311827957,0
167.017553,1675.608141,11.342,-70.57,4,0,13.83,11.16,1.239247311827957,0
167.117559,1662.871684,12.782,-66.37,4,0,13.83,11.16,1.239247311827957,0
167.217565,1652.024388,14.25,-62.14,4,0,13.83,11.16,1.239247311827957,0
167.31757,1652.024388,14.25,-62.14,4,0,13.83,11.16,1.239247311827957,0
167.417576,1642.875198,15.748,-57.42,4,0,13.83,11.16,1.239247311827957,0
167.517581,1635.152924,17.162,-52.61,4,0,13.83,11.16,1.239247311827957,0
167.66759,1628.581284,18.468,-48.06,4,0,13.83,11.16,1.239247311827957,0
167.767596,1623.093326,19.412,-43.13,4,0,13.83,11.16,1.239247311827957,0
167.867602,1618.34136,20.522,-39.42,4,0,13.83,11.16,1.239247311827957,0
167.967607,1614.311762,21.328,-35.46,4,0,13.83,11.16,1.239247311827957,0
168.01761,1610.95566,21.556,-31.49,4,0,13.83,11.16,1.239247311827957,0
130.843484,1647.28022,14.898,-59.63,5,0,13.99,11.16,1.253584229390681,0
