Time,Res_Freq,Amplitude,Phase,Sample_number,Peak,Before_compression,After_compression,Compression_ratio,Compression_time
2408.00073,1447.310597,27.09,-5.22,9,0,12.8,0.0,inf,251.94340899999997
1495.951564,1447.310987,27.07,-5.15,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1561.850333,1447.311031,27.072,-5.23,9,0,12.8,0.0,inf,251.94340899999997
1569.950796,1447.311037,27.056,-5.2,9,0,12.8,0.0,inf,251.94340899999997
1569.650779,1447.311037,27.028,-5.28,9,0,12.8,0.0,inf,251.94340899999997
1589.2499,1447.31105,27.042,-5.16,9,0,12.8,0.0,inf,251.94340899999997
1600.950569,1447.311055,27.074,-5.17,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1611.80019,1447.311062,27.068,-5.17,9,0,12.8,0.0,inf,251.94340899999997
1639.450771,1447.311074,27.066,-5.18,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1678.60001,1447.311091,27.054,-5.2,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1703.550437,1447.311101,27.068,-5.19,9,0,12.8,0.0,inf,251.94340899999997
1817.352947,1447.311162,27.068,-5.19,9,0,12.8,0.0,inf,251.94340899999997
1830.900722,1447.311167,27.062,-5.2,9,0,12.8,0.0,inf,251.94340899999997
2425.800748,1447.311478,27.004,-4.71,8,0,13.99,11.2,1.249107142857143,243.39392099999986
2131.099892,1447.311705,27.054,-5.24,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2224.700246,1447.311767,27.068,-5.21,9,0,12.8,0.0,inf,251.94340899999997
2227.101383,1447.311769,27.076,-5.18,9,0,12.8,0.0,inf,251.94340899999997
2286.811798,1447.311809,27.11,-5.17,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2318.050585,1447.311822,27.082,-5.19,9,0,12.8,0.0,inf,251.94340899999997
2556.650232,1447.311934,27.062,-5.22,9,0,12.8,0.0,inf,251.94340899999997
1551.550744,1447.312287,27.07,-5.14,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1553.899878,1447.312289,27.052,-5.21,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1589.749928,1447.312313,27.074,-5.17,9,0,12.8,0.0,inf,251.94340899999997
1589.749928,1447.312313,27.074,-5.17,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1594.750215,1447.312315,27.086,-5.25,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1604.503773,1447.312321,27.058,-5.23,9,0,12.8,0.0,inf,251.94340899999997
1626.250016,1447.312331,27.05,-5.23,9,0,12.8,0.0,inf,251.94340899999997
1637.950686,1447.312337,27.058,-5.21,9,0,12.8,0.0,inf,251.94340899999997
1793.750597,1447.312412,27.082,-5.18,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1803.900177,1447.312419,27.084,-5.21,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1819.950095,1447.312426,27.046,-5.2,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1832.700825,1447.31243,27.07,-5.17,9,0,12.8,0.0,inf,251.94340899999997
2096.399907,1447.312945,27.084,-5.23,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2224.60024,1447.31303,27.05,-5.25,9,0,12.8,0.0,inf,251.94340899999997
2313.75634,1447.313083,27.044,-5.19,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1569.750785,1447.313563,27.05,-5.18,9,0,12.8,0.0,inf,251.94340899999997
1593.955169,1447.313577,27.074,-5.19,9,0,12.8,0.0,inf,251.94340899999997
1648.450286,1447.313605,27.064,-5.12,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1670.050521,1447.313614,27.082,-5.19,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1678.900028,1447.313617,27.048,-5.19,9,0,12.8,0.0,inf,251.94340899999997
1688.851597,1447.31362,27.052,-5.17,9,0,12.8,0.0,inf,251.94340899999997
1722.600527,1447.313638,27.074,-5.2,9,0,12.8,0.0,inf,251.94340899999997
1741.750623,1447.313649,27.06,-5.2,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1803.800172,1447.313682,27.08,-5.2,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1812.402664,1447.313685,27.066,-5.18,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1828.800601,1447.313692,27.078,-5.21,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1942.300093,1447.313731,27.066,-5.14,9,0,12.8,0.0,inf,251.94340899999997
1947.050365,1447.313733,27.076,-5.23,9,0,12.8,0.0,inf,251.94340899999997
2020.150546,1447.313804,27.066,-5.22,9,0,12.8,0.0,inf,251.94340899999997
2182.550835,1447.314265,27.08,-5.23,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2182.550835,1447.314265,27.08,-5.23,9,0,12.8,0.0,inf,251.94340899999997
2195.500576,1447.314273,27.07,-5.18,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2198.300736,1447.314274,27.058,-5.25,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2228.250449,1447.314296,27.1,-5.22,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2374.000785,1447.314373,27.066,-5.23,9,0,12.8,0.0,inf,251.94340899999997
1526.850331,1447.314797,27.054,-5.14,9,0,12.8,0.0,inf,251.94340899999997
2870.250169,1447.314815,27.094,-5.2,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1558.400136,1447.314818,27.078,-5.21,9,0,12.8,0.0,inf,251.94340899999997
2877.300572,1447.314819,27.09,-5.2,9,0,12.8,0.0,inf,251.94340899999997
1641.249874,1447.314865,27.036,-5.22,9,0,12.8,0.0,inf,251.94340899999997
1646.850194,1447.314868,27.07,-5.26,9,0,12.8,0.0,inf,251.94340899999997
1698.950174,1447.314887,27.056,-5.25,9,0,12.8,0.0,inf,251.94340899999997
1700.050238,1447.314888,27.096,-5.2,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1712.899972,1447.314896,27.082,-5.21,9,0,12.8,0.0,inf,251.94340899999997
